SampleID	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s131	-9.90358754753646	-0.569172860458352	-4.07758744015601	-9.90358754753646	-8.29414963510236	-9.90358754753646	-1.78478455055643	-9.90358754753646	-9.90358754753646	-6.76809333160731	-9.90358754753646	-2.61125037136258	-8.29414963510236	-8.80497525886835	-6.40707998606998
s132	-3.89755685561325	-4.19218684683383	-3.45805832190069	-2.95722509488219	-2.44039205933413	-0.918732293877388	-2.96888023847394	-1.70429660457894	-1.44916439698302	-3.39507454603833	-3.42053046603168	-3.9973280093582	-9.71763978596561	-9.71763978596561	-7.5204152086294
s133	-3.97928508703276	-9.08523056093334	-9.08523056093334	-3.73337242745727	-1.30325732649895	-2.8410636602696	-3.51307652875557	-3.19635260260046	-1.63689670003586	-9.08523056093334	0.148337937162051	-4.27304620556092	-9.08523056093334	-2.35540649044386	-9.08523056093334
s134	-0.307013529470088	-6.42531094775437	-8.82320622055274	-0.43361915374165	-2.18071941918549	-4.20808570371148	-2.32643123036688	-3.43413449073624	-4.61851360116178	-8.82320622055274	-4.35729810189816	-8.82320622055274	-8.82320622055274	-4.31234671403589	-1.21681883078009
s135	1.16637979799692	-7.30518821539304	-5.69575030295894	1.48279518080476	-2.61384033316389	-7.30518821539304	-5.35927806633772	-3.26213694755849	-7.30518821539304	-7.30518821539304	-7.30518821539304	-7.30518821539304	-7.30518821539304	-7.30518821539304	-6.20657592672493
s136	-0.192820340892174	-6.1303565459746	-3.27388633975412	1.20983028934552	-0.0153478127751634	-7.7397944584087	-4.12887654576448	0.828662026945078	-3.06696562394679	-6.64118216974059	-6.1303565459746	-7.7397944584087	-6.64118216974059	-5.79388430935339	1.86022033576932
s137	-8.62356919129539	-0.930725858054949	-2.87353946547387	-6.22567391849702	-10.2330071037295	-5.40469336642719	-1.80595746216622	-10.2330071037295	-10.2330071037295	-8.62356919129539	-5.97032722668817	-10.2330071037295	-2.01125937538287	-2.1749963029274	-2.93659383495557
s138	-2.83682795098783	-7.4853312616823	-6.7231912096354	-1.16020454494466	-0.796620802445411	-5.49941577801329	-7.82180349830351	-3.07339914422951	-1.83988436403906	-9.43124141073761	-4.73989352850847	-9.43124141073761	-9.43124141073761	-9.43124141073761	-9.43124141073761
s139	-9.62535969288916	-4.17432123932346	-6.07001163139974	-9.62535969288916	-5.05064871438578	-0.584977618723532	-0.933037415260471	-2.71860491424061	-3.34683826872331	-3.57798751384288	-3.31000169136682	-7.67944954383385	-5.96179804675951	-9.62535969288916	-9.62535969288916
s140	-0.522166997644462	-9.5496656775798	-0.268960042943056	-0.66713516914618	-9.5496656775798	-9.5496656775798	-9.5496656775798	-9.5496656775798	-9.5496656775798	-8.45105338891169	-2.98018425716551	-9.5496656775798	-8.45105338891169	-9.5496656775798	-9.5496656775798
s141	-7.4711733528673	-2.84293789394821	-7.4711733528673	-8.56978564153541	-4.33567913693815	-6.37256106419919	-0.0894639248950749	-5.52526320381198	-5.43429142560626	-8.56978564153541	-4.63796000881108	-8.56978564153541	-8.56978564153541	0.321588367949228	-3.52636052461616
s142	-7.49430661327626	-6.98348098951027	0.213904463141661	-6.64700875288906	-6.39569432460815	-6.74709221144604	-6.39569432460815	-6.25754398612734	-7.12658183315095	-2.99326313649707	-5.54839646422095	-9.69153119061248	-4.67425135379756	-9.69153119061248	-9.69153119061248
s143	-6.9406809160115	-9.88511989517794	-5.59466045402955	-2.72349789223876	-2.69444386084574	-5.23115954502042	-1.21795617718541	-2.58464708091014	-2.36596993750812	-9.88511989517794	-1.895220520235	-9.88511989517794	-5.62244001813663	-9.88511989517794	-9.88511989517794
s144	-1.25580118218289	-3.24296578772562	-3.3173802732917	-2.52814288168663	0.773883726262107	-1.40767882379913	-3.98929523374587	-1.14820395628295	-1.21303678261713	-2.60510392282276	-0.864083884772308	-8.7684187268574	-5.21307066536799	-5.10485708072776	-8.7684187268574
s145	-5.4971682252932	-8.86446405527968	-7.25502614284558	1.01508934696082	-1.06676201976299	-1.03364106014436	-3.49382602715201	-1.68439418097688	-2.48943923545158	-4.44562344748308	-3.72280049877702	-8.86446405527968	-7.76585176661157	-4.17311617305053	-8.86446405527968
s146	0.0487279963785441	-3.16250947591015	-3.51661702434363	-1.76789506679556	-1.15950212189019	-1.20056983974167	-5.27594121781853	-2.07770241080671	-2.37498735059183	-4.98295409313706	-1.71332480210203	-9.12608881952859	-9.12608881952859	-9.12608881952859	-9.12608881952859
s147	2.10537643154598	-3.32739102314366	0.87755241139786	-0.80199856979503	-8.10651451625519	-7.00790222758708	-8.10651451625519	-5.70861924345681	-8.10651451625519	-3.73706666378816	-8.10651451625519	-8.10651451625519	-2.20661716267269	-8.10651451625519	-8.10651451625519
s148	0.0755667209548129	-0.666938075028223	-1.26185126538307	-3.47857506777072	-6.54873993610748	-7.84802292023774	-0.558867564930071	-0.142910606795228	-7.84802292023774	-4.9035839410713	-8.94663520890585	-8.94663520890585	-2.54140675087501	-8.94663520890585	-1.64077517622184
s149	-0.165521617254238	-6.83374986567164	1.94565373222271	-5.73513757700353	-6.83374986567164	-4.56506632435328	0.848578959232636	-6.32292424190565	-7.93236215433975	0.298481409858484	-6.32292424190565	-7.93236215433975	-7.93236215433975	-7.93236215433975	-7.93236215433975
s150	-3.76089960783302	-4.3302525710463	-5.16544740926226	-3.14424846026318	-1.73622536015191	-6.35202847087633	-2.40277612367983	-2.30414919124951	-1.13018261013398	-9.7193243008628	-2.43793863729252	-2.08353743946722	-8.62071201219469	-5.60845043668949	-9.7193243008628
s151	-4.36424655082102	-4.34262408680785	-5.33962619906518	-5.86016063695813	-1.63243713275591	-7.17583743086407	-0.99619728324004	-2.14302562111647	-1.62393548750059	-9.57373270366244	-7.17583743086407	-9.57373270366244	-7.96429479122834	-2.91829235329479	-0.302015052011353
s152	-7.74710325526727	-4.36029461105721	-9.69301340432258	-4.09830202472074	-1.51185254629917	-1.35327363830344	-1.37061929121141	-1.07561295248932	-1.60383772548502	-2.49035220779934	-4.587067930422	-4.4303232154177	-9.69301340432258	-3.99928126551988	-9.69301340432258
s153	-2.12676268849107	-3.455431673353	-8.69717868841264	-0.881837118186498	-1.44088144872196	-2.57834754538422	-4.96747723977845	-2.42745129076937	-3.61992370697499	-7.23084161961922	-3.6754935581298	-9.79579097708075	-9.79579097708075	-3.07798628205706	-9.79579097708075
s154	-2.54389855026542	-2.58943487243066	-5.03039629028567	-4.56918919916927	-6.0793089104015	-6.59013453416749	-1.01521902284446	-5.55404260248072	-6.7193462656475	-8.98802980696586	-6.86776627076577	-8.98802980696586	-2.3386135712016	-10.086642095634	-8.98802980696586
s155	-3.02579921245216	-6.01006245865739	-4.56005228315139	-8.10720357743663	-5.61046247000162	-0.54913406158985	-5.0626811397132	-5.00968860957269	-7.1086747473255	-8.10720357743663	-6.91761951056279	-8.95450143782383	-10.0531137264919	-8.44367581405784	-10.0531137264919
s156	-2.1935386166573	-8.30943074214033	-0.171158103610145	0.370051352319626	1.12397317794989	-6.69999282970623	-8.30943074214033	1.20964354898425	-2.26205856309405	-7.21081845347222	-8.30943074214033	-8.30943074214033	-8.30943074214033	-8.30943074214033	-7.21081845347222
s157	-2.24352458306978	-1.75843567394784	-0.640641683182015	-2.31498354705192	-0.27606961502769	0.984600530946849	-3.39047341829918	-0.463631980621624	-0.00714909817173488	-8.55525939222269	-2.84152658671332	-8.55525939222269	-8.55525939222269	-8.55525939222269	-8.55525939222269
s158	0.371745134345038	-8.13681086367554	-4.4396326067469	-1.79645155994778	-9.23542315234365	-0.645165390070403	-2.26469307420012	-9.23542315234365	-9.23542315234365	-4.56259431788174	-9.23542315234365	-9.23542315234365	-8.13681086367554	-9.23542315234365	-0.75593182811142
