OTU	Size	Taxonomy
Otu0386	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Gallicola
Otu0387	1	Bacteria
Otu0388	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0389	1	Bacteria Bacteroidetes
Otu0390	1	Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
Otu0391	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0392	1	Bacteria
Otu0393	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0394	1	Bacteria Acidobacteria Acidobacteria_Gp7 Gp7
Otu0395	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu0396	1	Bacteria
Otu0397	1	Bacteria Bacteroidetes
Otu0398	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu0399	1	Bacteria Bacteroidetes
Otu0400	1	Bacteria Firmicutes Bacilli
Otu0401	1	Bacteria
Otu0402	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0403	1	Bacteria
Otu0404	1	Bacteria
Otu0405	1	Bacteria
Otu0406	1	Bacteria
Otu0407	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0408	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0409	1	Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Peptostreptococcaceae_incertae_sedis
Otu0410	1	Bacteria
Otu0411	1	Bacteria
Otu0412	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0413	1	Bacteria Acidobacteria
Otu0414	1	Bacteria Proteobacteria
Otu0415	1	Bacteria
