sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AA34_42509_20191204_ST	37968	2853.23333333333	15	35099.7666666667
0159_AA34_42513_20191124_ST	696319	38151.5	116.5	658051
0159_AA34_42515_20191210_ST	43155	3462.21666666667	13	39679.7833333333
0159_AB10_100704_20181210_ST	827378	39559.65	129	787689.35
0159_AB10_100707_20181102_ST	1307833	73815.95	139	1233878.05
0159_AB10_100710_20181001_ST	22476810	1421185.45714286	18025.1666666667	21037599.3761905
0159_AB10_100722_20190318_ST	1081854	60594.5166666667	266	1020993.48333333
0159_AB10_101123_20190227_ST	2281336	125649.627777778	560.833333333333	2155125.53888889
0159_AB10_101383_20190318_ST	1319102	64527.7	149.833333333333	1254424.46666667
0159_AB10_101445_20190131_ST	661121.999999999	43342.6333333333	44	617735.366666666
0159_AB10_101564_20190227_ST	231785	12764.5833333333	79.5	218940.916666667
0159_AB10_101585_20180920_ST	1495169	79867.6333333333	339	1414962.36666667
0159_AB10_101629_20180823_ST	4702187	250098.583333333	545	4451543.41666667
0159_AB10_101812_20190109_ST	1695735	88602.8166666667	355	1606777.18333333
0159_AB10_101828_20210113_ST	2324	149.5	3	2171.5
0159_AB10_101848_20181004_ST	6345436.99999999	323464.994444444	1231.33333333333	6020740.67222222
0159_AB10_103154_20190107_ST	698527.999999999	36082.6666666666	93	662352.333333333
0159_AB10_103179_20180717_ST	2770768	144907.883333333	328	2625532.11666667
0159_AB10_103180_20180801_ST	2902255	167635.919047619	637	2733982.08095238
0159_AB10_103250_20181203_ST	1626361	86740.25	198	1539422.75
0159_AB10_103255_20180917_ST	5150685	249130.333333333	1430.83333333333	4900123.83333333
0159_AB10_103277_20190425_ST	1967708	105634.866666667	224	1861849.13333333
0159_AB10_103281_20180518_ST	1036988	59566.5833333334	230	977191.416666667
0159_AB10_103292_20190425_ST	855846.999999999	48125.4738095238	3381	804340.526190476
0159_AB10_103815_20181107_ST	2234610.00000001	113347.1	278.5	2120984.40000001
0159_AB10_103832_20190306_ST	1755559	93660.0333333333	310.5	1661588.46666667
