PEPDEPHOS-RXN	EC-2.7.1.40	PEPDEPHOSII-ENZRXN;PEPDEPHOSI-ENZRXN;ENZRXN66-2024;ENZRXN66-463;ENZRXN-13944;ENZRXN-13900;ENZRXN-13436;ENZRXN-13432;ENZRXN-12264;ENZRXN-9082;ENZRXN-9081;ENZRXN-5047;ENZRXN-2871;ENZRXN-2742	PWY-6901;PWY-2221;NPGLUCAT-PWY;GLYCOLYSIS;PWY66-400;PWY-7218;ANAGLYCOLYSIS-PWY;PWY-7003;PWY-6142;PWY-6886;PWY-5484;PWY-5723;P124-PWY;FERMENTATION-PWY;P341-PWY;P122-PWY;PWY-1042;ANARESP1-PWY
RXN-12602	EC-1.14.13		PWY-6887
UDP-NACMURALGLDAPAALIG-RXN	EC-6.3.2.10	UDP-NACMURALGLDAPAALIG-ENZRXN;ENZRXN-17249	PWY-6387
RXN0-2301	EC-1.3.8.4	ENZRXN0-6530;ENZRXN-12263;ENZRXN-18449	LEU-DEG2-PWY
ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8		
RXN-11533			PWY-2582
2.8.2.19-RXN	EC-2.8.2.19		
RXN-8429	EC-4.2.3.55	ENZRXN-19380;ENZRXN-19376;ENZRXN-18293;ENZRXN-13670;ENZRXN-13621;ENZRXN-13589;ENZRXN-13349	PWY-7102;PWY-6888;PWY-6836
RXN-14449	EC-2.3.1	ENZRXN-21686	PWY-7265
RXN-12605	EC-1.14.13		PWY-6888
PEPSYNTH-RXN	EC-2.7.9.2	PEPSYNTH-ENZRXN;ENZRXN-12356	GLYCOLYSIS;GLUCONEO-PWY;PWY-5484;P23-PWY
UDP-NACMURALGLDAPLIG-RXN	EC-6.3.2.13	UDP-NACMURALGLDAPLIG-ENZRXN;ENZRXN-17248	PWY-6387
RXN0-2361	EC-6.3.2	ENZRXN0-3301	
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	ENZRXN0-6423;ENZRXN-13372;ENZRXN-13371;ENZRXN-2783	HISTSYN-PWY
RXN-11534			PWY-2582
RXN-12606			PWY-6888
2.8.2.23-RXN	EC-2.8.2.23	ENZRXN66-875	PWY-6558
RXN-8430	EC-4.2.3.123	ENZRXN-13669;ENZRXN-13350	
RXN-14450	EC-2.3.1	ENZRXN-21685	PWY-7265
PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN	EC-1.14.11.16		
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108	UDPACYLGLCNACDEACETYL-ENZRXN	NAGLIPASYN-PWY
RXN-11535		ENZRXN-17979;ENZRXN-17977	PWY-699
RXN0-2381	EC-4.1.2.8	ENZRXN0-3381;ENZRXN-10301;ENZRXN-10302;ENZRXN-3667;ENZRXN-3666	TRYPSYN-RXN;PWY-6949;TRPSYN-PWY
ATPSYN-RXN	EC-3.6.3.14	ATPSYN-ENZRXN;ENZRXN66-19641;ENZRXN-15892;ENZRXN-2861;ENZRXN-3302	PWY-7219
RXN-12607			PWY-6888
2.8.2.26-RXN	EC-2.8.2.26	ENZRXN-16252	PWY-6199
RXN-8431	EC-4.2.3	ENZRXN-13351	
RXN-14453	|EC-2.1.1.dp|		
RXN-11536		ENZRXN-17980;ENZRXN-17978	PWY-699
PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE-RXN	EC-1.13.11.26		
UDPGLCNACEPIM-RXN	EC-5.1.3.14	UDPGLCNACEPIM-ENZRXN;ENZRXN-8984	ECASYN-PWY;TEICHOICACID-PWY
RXN-12608			PWY-6888
RXN0-2382	EC-4.2.1.122	ENZRXN0-3701;ENZRXN-19094;ENZRXNQT-46;ENZRXN-3682;ENZRXN-3665;ENZRXN-3664	TRYPSYN-RXN;TRPSYN-PWY
AZOBENZENE-REDUCTASE-RXN	EC-1.7.1.6		
2.8.2.27-RXN	EC-2.8.2.27	ENZRXN-16253	PWY-6199
RXN-11537	EC-1.14.13	ENZRXN-17983	PWY-6544
RXN-8432	EC-4.2.3	ENZRXN-16626;ENZRXN-13352	PWY-6275
RXN-14454	|EC-2.3.1.am|		
PEPTIDYL-GLUTAMINASE-RXN	EC-3.5.1.43		
RXN-12609	EC-5.3.99.10	ENZRXN-19528	PWY-6891
UDPGLUCEPIM-RXN	EC-5.1.3.2	UDPGLUCEPIM-ENZRXN;ENZRXN-17282;ENZRXN-14033;ENZRXN-9263;ENZRXN-9141;ENZRXN-9122;ENZRXN-6302;ENZRXN-2963	COLANSYN-PWY;PWY-6397;PWY-6527;PWY-3821;PWY-6317
RXN0-2441	EC-2.1.1.144	ENZRXN0-3461	
BA7DEHYDRA-RXN	EC-4.2.1.106	ENZRXN-1981	7ALPHADEHYDROX-PWY
RXN-11538	EC-1.14.13	ENZRXN-17984	PWY-6544
2.8.2.28-RXN	EC-2.8.2.28		PWY-6199
RXN-8433	EC-2.4.2	ENZRXN-13353	
RXN-14455	|EC-3.6.3.a|		
RXN-12610	EC-2.5.1.3	ENZRXN-19558;ENZRXN8J2-606	PWY-6907;PWY-6893
PEPTIDYLAMIDOGLYCOLATE-LYASE-RXN	EC-4.3.2.5		
UDPKIN-RXN	EC-2.7.4.6	UDPKIN-ENZRXN;ENZRXN3O-10723;ENZRXNQT-7451;ENZRXN66-2249	PWY-7176
RXN0-2461		ENZRXN0-3481	
BACOAHYDRO-RXN	EC-3.1.2.26	ENZRXN-2021	7ALPHADEHYDROX-PWY
RXN-12611	EC-2.5.1.3	ENZRXN-19942	PWY-6894
2.8.2.29-RXN	EC-2.8.2.29	ENZRXN66-4447	PWY-6558
RXN-8434	EC-5.4.99.40	ENZRXN-21601;ENZRXNQT-9697;ENZRXN-15776;ENZRXN-13357	PWY-7251;PWY-5377;PWY-6109
RXN-14456	EC-5.4.2		
PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	EC-1.14.17.3		
UDPMANACATRANS-RXN	EC-2.4.1.180	UDPMANACATRANS-ENZRXN	ECASYN-PWY
