#id	len	geom_mean	median	min	max
32b4e46c-40d2-49b0-8bc3-e609a2666fbf	83	20.7	27	6	50
1d3ed62b-5d8a-4516-bcb6-f752a1e707c3	131	30.0	36	6	50
1b787bd6-19b4-4a61-b189-c6e8e6a01b84	122	18.7	24	4	49
db68a445-2afe-4e5f-af86-44d4daf8598d	554	27.8	35	4	50
308cdc68-b52b-4ac3-9b05-23b4a374ce26	123	25.5	35	3	50
bc8931d0-df60-4bc9-8a3b-b9dd1b563024	49	16.1	33	3	50
ab9f886e-5514-4e21-8cb5-d12b1be0b36e	4126	26.0	27	3	50
3a00a0da-b3e8-4078-a22b-d58709cf7c16	1377	19.1	21	4	36
662d03ee-8cdd-4464-8a3e-301ec2ff642a	198	20.6	33	4	50
0335a888-1e77-472e-9150-3c903b1f3e29	131	25.4	31	4	50
bb9f3677-1770-4528-b065-7650e67fdd4f	65	18.3	23	4	42
79a5b647-e011-4fb3-b752-4e3425012ac5	284	23.8	26	7	50
0054db9c-ca30-49da-9974-cf9023bf9123	211	30.4	35	2	50
40dcba33-3d5a-4f3a-9145-cb6aeadf4c20	102	22.2	36.5	4	50
6f7bac5a-91a7-4a45-9ea1-760e74f601de	892	26.3	34.5	3	50
6165240e-6027-4124-abd8-696f39b82bb5	127	15.3	18	3	50
907d00ca-c241-42b0-9d51-5a679fd9ad04	256	20.9	26.5	3	50
2cd3b9f2-570f-4b55-b35c-323843e9d094	136	16.3	19	3	50
e20cae51-9759-43a0-9cc5-da5cfeaf3fc0	61	27.0	31	5	42
599881be-c506-4491-8d63-8ec5c873505a	129	25.6	34	6	50
4424563e-731a-4de9-a2a5-2bb5e60bc7c7	113	15.9	14	6	42
ef1a3c96-dfde-42c6-8047-6894916b52a1	2	7.5	7.5	7	8
8f52927c-6fce-49c5-9ed8-abe684eebe4f	500	17.3	19	4	45
883ce571-80ec-4a1d-9a82-7ed20c6caeb6	172	13.1	14.5	2	50
5b1808ee-d911-43c5-a324-5d5d29fa3ab6	229	19.1	21	3	27
2f90b3c9-d1ea-4944-9559-7e760823feb8	172	17.1	20	2	50
0869a3c1-5cf3-48bd-b4a4-72db8381efe2	76	12.4	11.5	2	50
b82b414c-521a-4b1a-85ff-43ce776ddabe	184	38.9	40	16	50
9765f151-f203-4cea-a588-08e785785358	129	23.1	29	3	42
8060f645-a209-4e61-a36e-6f9f9406d702	54	27.5	30	4	50
e2533ecc-8db8-4632-a13e-7c29916df2b0	287	28.9	35	4	50
2db636f3-0769-4665-8188-3f0e65455641	127	17.6	21	4	39
592c7b10-0d34-4c2b-9b42-bcba1b447753	90	10.6	11.5	2	39
1dc44732-ea64-4742-9818-2bef9abe3334	347	26.4	33	3	50
e0e04669-4001-49fc-8377-c7d84bf7faa9	55	30.6	39	5	50
cd583431-9130-4845-bbbc-43d635e4f19b	192	18.6	25	4	50
251375aa-8d1d-434a-8515-5bf13b9255fc	101	18.9	30	2	50
51fa900f-6708-49d2-95f1-6972e2d84ca7	4	3.0	3	3	3
7bfa0afe-02e4-45d9-86f9-7f95b422d06a	10	15.1	15	12	19
8daa9b45-1b0c-42ef-adf4-3f7ab7b31b59	19	2.6	2	2	5
b1189500-c093-4dda-b254-c2a3197ed7c6	141	19.3	33	3	50
2816800b-b095-4215-8acc-38404693b8c5	134	23.9	34	3	50
2f076d0a-55bd-48fd-8432-e2ddae3f14e8	26	7.8	8	4	16
99682003-7b82-4079-ae2a-d294aec6b6de	68	25.9	31	5	50
ea7fc466-bd81-461f-929e-43fa1c77f9ad	138	18.1	24	4	50
47fde508-65c5-4608-b4d5-f6ceda7c8153	2	6.0	6	6	6
646acd36-88d5-4331-a5b3-9bae2ce724bc	164	21.3	27	3	50
96a46ddc-5a7b-4433-9950-1267a6efbff7	188	30.6	36	8	50
05c11696-b00c-4d0a-bafe-58a06307e370	763	29.7	36	6	50
8ae267dc-2303-455f-a638-10b9a6d7ff74	121	20.5	28	4	50
6f0de12b-f0a2-48b8-b5b4-c484d56615ac	58	16.7	18.5	3	50
b4b768ab-e80b-41fc-9f09-3a26f0885622	75	14.1	14	5	32
00582ab9-534e-40af-9d39-89599886541e	65	24.1	29	6	50
90e8f1cc-ed9d-45d8-9ad9-fe239a8c984b	182	21.1	23.5	4	50
cad2f4ca-3ec3-49d9-8782-252a4b682536	750	33.4	40	4	50
fd869786-98f8-4c8b-82f8-65665762187b	9	8.3	9	4	12
49c7c7f6-fb20-4741-87f2-4bddd6b6cb4f	129	15.8	20	3	45
163c5b05-0961-4d13-b93a-2e9df043f6b7	9	10.4	8	7	22
00f980c0-3fc5-42fc-ac96-42af5453d129	1	8.0	8	8	8
41a72f7c-8817-4b1f-b8d1-bcbd9ebc8c9e	52	27.7	32	7	42
c927860a-f300-4d9c-8ea9-2b753406bd5a	160	30.8	34	8	50
3f7f8dfd-3c4c-4332-b12e-a588663eebed	224	17.2	16	3	50
6614f050-a025-44dc-ba36-1d3c6b5b4eec	46	12.8	10	3	42
2bb413ce-f634-48e2-a8dc-39cefc661582	155	15.0	19	3	50
a9b304e6-3a84-49b5-bdcd-5e08ab24e7a9	109	18.8	18	5	50
bd8867bf-2637-49f2-a27d-31a18310eb3e	12	15.2	15	7	22
