sample_id	total	transmembrane_transporter_activity	amine_transmembrane_transporter_activity	organic_acid_transmembrane_transporter_activity	ion_transmembrane_transporter_activity	carbohydrate_transmembrane_transporter_activity	polyamine_transmembrane_transporter_activity	nucleobase_transmembrane_transporter_activity	heme_transmembrane_transporter_activity	inorganic_molecular_entity_transmembrane_transporter_activity	siderophore_transmembrane_transporter_activity	efflux_transmembrane_transporter_activity	organophosphate_ester_transmembrane_transporter_activity	nucleobase_containing_compound_transmembrane_transporter_activity	oxidative_phosphorylation_uncoupler_activity	toxin_transmembrane_transporter_activity	passive_transmembrane_transporter_activity	active_transmembrane_transporter_activity	macromolecule_transmembrane_transporter_activity	amide_transmembrane_transporter_activity	xenobiotic_transmembrane_transporter_activity	modified_amino_acid_transmembrane_transporter_activity	auxin_transmembrane_transporter_activity	vitamin_transmembrane_transporter_activity	azole_transmembrane_transporter_activity	carbohydrate_derivative_transmembrane_transporter_activity	poly_beta_1_6_N_acetyl_D_glucosamine_transmembrane_transporter_activity	organic_hydroxy_compound_transmembrane_transporter_activity	sulfur_compound_transmembrane_transporter_activity	Remaining
0159_AP39_21101_20171111_ST	8768627	212311.033333333	43.6666666666667	20892.9811507937	95834.3435515873	15423.9847222222	676.513888888889	18771.5	782.833333333333	48845.5488425926	2614.33333333334	46620.4166666667	54.0231481481481	2164.75	0	40	27149.9291666667	133418.770734127	9344.04166666666	13610.7527777778	26095.2361111111	359.625	0	2069.05833333333	36	3361.52314814815	17	3990.47222222222	1459.94722222222	8082638.71498016
0159_AZ03_32060_20190920_ST	8753112	161486.74047619	206.666666666667	17630.1548611111	83759.7037037037	8410.70138888889	787.36111111111	14251.6666666667	121.666666666667	50884.5243055556	1678.16666666667	24982.7916666666	19.9467592592593	816.1375	0	71	12975.4458333333	147507.779811508	5039.34861111111	5446.57698412698	37105.3888888889	195.541666666667	0	3044.45	463.125	1479.64537037037	1	740.916666666667	1369.52638888889	8172636.02633929
0159_AH05_15000_20171130_ST	8744946	190825.854761905	104.333333333333	14266.8199494949	88632.6525883838	13566.7102272727	473.531565656565	8970.75757575758	546	44680.8810185185	5127	57871	118.039351851852	1636.6625	0	162	19159.8694444444	136812.657680976	8650.25	9240.30833333334	37258.6333333334	291.041666666667	0	2154.40050505051	194.208333333333	2594.28518518519	2.5	1106	1409.94722222222	8099089.65542328
0159_AA34_42388_20190405_ST	8723702	163994.666666667	37.6666666666667	17891.8277777778	87863.9939814814	12643.3611111111	592.416666666667	13016.3333333333	806.666666666667	50095.5546296297	2649.33333333334	35932.0833333333	44.2222222222222	1176.5	0	129	16164.3986111111	153744.461111111	6737.70833333332	6396.27222222222	42517.9555555556	194.166666666667	0	3026.66111111111	428.083333333333	1639.72222222222	2	809.583333333333	1849.13333333333	8103318.22777778
0159_AP39_21083_20180113_ST	8720361	224087.483333333	137	13861.91875	83912.6716104497	18881.8784722222	483.5625	9229.66666666667	1443.33333333334	40109.4275297619	5859.66666666667	74852.3666666667	137.280092592593	2050.72916666667	0	161	20602.96875	124962.309457672	9583.66666666667	9574.10833333334	34117.7166666666	373.958333333333	0	1894.06666666667	56.625	2924.09259259259	108	1866.53333333333	1175.32361111111	8037913.64580026
0159_AB18_26723_20201110_ST	8699907	181812.233333333	73.7777777777777	14288.1381944444	88302.311359127	14626.2708333333	450.70138888889	9150.83333333333	420.833333333333	45709.2402281746	4373.33333333334	52955.9166666667	68.4097222222222	1655.02083333333	0	59	19388.98125	142830.705803571	8337.11111111111	8859.75555555556	40107.5972222223	276	0	2468.98611111111	267.708333333333	2424.09722222222	52	1285.27777777778	1416.05416666667	8058246.70510913
0159_AA34_42282_20181025_ST	8632301	185556.25	85.3333333333333	14391.2430555556	90469.3185681217	19360.3409722222	355.444444444443	11196.5	678.916666666667	42427.4160548942	4786.66666666667	55735.3333333333	7.41666666666667	1198.28333333334	0	46	19350.0395833333	131603.213244048	9286.14583333333	8284.34722222222	34407.8333333333	580.847222222222	0	1857.59722222222	118.666666666667	1884.11666666667	12.5	2415.58333333334	1372.73611111111	7994832.91046627
0159_AP39_21359_20180323_ST_E21	8594713	156743.7	152.666666666667	17174.1201388889	85797.0789682539	10811.0361111111	596.666666666667	16522.75	601.083333333333	51671.3522156084	1562.83333333333	23038.4166666666	38.0092592592593	807.058333333333	0	101	15742.9763888889	147020.370089286	4746.41666666667	4729.56111111111	38890.1111111111	408.208333333333	0	2963.89444444445	390.708333333333	1393.62314814815	10	1255.27777777778	1718.29027777778	8009825.790625
0159_AB18_26497_20190718_ST	8577097	192580.7	127.666666666667	14482.6618055556	89528.6230324074	13566.8333333333	543	9916.16666666667	309.916666666667	43364.6134259259	6858.5	72581.8333333333	10.1388888888889	1518.175	0	93	18710.8972222222	131520.68125	9381.83333333333	10064.0833333333	39015.3333333334	312.708333333333	0	1956.33333333333	178.75	2070.56388888889	0	1296.27777777778	1191.28472222222	7915916.42465278
0159_AZ03_32024_20180718_ST	8500829	202977.05	216.666666666667	13954.9343055556	89292.6328240741	17801.5	490.11111111111	9090.66666666667	848.5	41855.4231481481	5925.16666666666	62064.9166666667	36.7777777777778	1847.5	0	51	21122.5555555556	126160.895949074	8739.20833333333	10475.5472222222	32587.4722222222	352.958333333333	0	1836.99166666666	109.5	2642.27777777778	0	2224.91666666667	976.345833333333	7847147.48460648
