sample_id	total	negative_regulation_of_snRNA_transcription_by_RNA_polymerase_II	Remaining
0159_AY44_33002_20170915_ST	3894253	0	3894253
0159_AB10_26116_20180922_ST	3892256	0	3892256
0159_AB10_26295_20181017_ST	3852721	0	3852721
0159_AP39_21134_20180212_ST	3852158	0	3852158
0159_AP39_21032_20171214_ST	3819323	0	3819323
0159_AA34_42094_20180523_ST	3814589	0	3814589
0159_AA34_42411_20190504_ST	3804752	0	3804752
0159_AP39_21401_20180607_ST_E21	3778489	0	3778489
0159_AA34_42257_20181004_ST	3770016	0	3770016
0159_AB18_26507_20190724_ST	3769919	0	3769919
0159_AA34_42435_20190518_ST	3735192	0	3735192
0159_AA34_42281_20181017_ST	3722222	0	3722222
0159_AJ09_750041_20190718_ST	3712172	0	3712172
0159_AQ29_10043_20171205_ST	3695873	0	3695873
0159_AP39_21386_20180320_ST_E21	3691665	0	3691665
0159_AQ29_10137_20190311_ST	3663542	0	3663542
0159_AB18_26815_20201210_ST	3660299	0	3660299
0159_AQ29_10066_20180313_ST	3623651	0	3623651
0159_AQ29_10079_20180418_ST	3618829	0	3618829
0159_AB18_30120_20190320_ST	3615306	0	3615306
0159_AY44_33270_20191025_ST	3605141	0	3605141
0159_AZ03_32092_20191205_ST	3603026	0	3603026
0159_AA34_42175_20180807_ST	3592993	0	3592993
0159_AZ03_32026_20180802_ST	3583669	0	3583669
0159_AY44_33181_20190529_ST	3583048	0	3583048
0159_AA34_42427_20190604_ST	3581500	0	3581500
0159_AQ29_10070_20180328_ST	3555720	0	3555720
0159_AP39_21388_20180307_ST_E21	3542996	0	3542996
0159_AQ29_10122_20180925_ST	3541544	0	3541544
0159_AP39_21366_20180409_ST_E21	3492634	0	3492634
0159_AA34_42089_20180515_ST	3488188	0	3488188
0159_AQ29_10105_20180712_ST	3478498	0	3478498
0159_AB18_26491_20190502_ST	3472509	0	3472509
0159_BA21_18007_20171111_ST	3445268	0	3445268
0159_AB18_26633_20191009_ST	3444256	0	3444256
0159_AK37_71027_00/00/00_ST	3428541	0	3428541
0159_AS41_40093_20191022_ST	3422399	0	3422399
0159_AZ03_32068_20190211_STLS	3397677	0	3397677
0159_AB10_26016_20180423_ST	3384648	0	3384648
0159_AZ03_32016_20180619_STHS	3375767	0	3375767
0159_AA34_42003_20180313_ST	3373812	0	3373812
0159_AA34_42131_20190211_ST	3370407	0	3370407
0159_AQ29_10145_20190623_ST	3359861	0	3359861
0159_AB18_26442_20190220_ST	3341463	0	3341463
