sample_id	total	transferase_complex	X1_3_beta_D_glucan_synthase_complex	ubiquitin_ligase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	palmitoyltransferase_complex	alpha_alpha_trehalose_phosphate_synthase_complex__UDP_forming_	acetolactate_synthase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_farnesyltransferase_complex	Rab_protein_geranylgeranyltransferase_complex	serine_pyruvate_aminotransferase_complex	oligosaccharyltransferase_complex	aspartate_carbamoyltransferase_complex	riboflavin_synthase_complex	cellulose_synthase_complex	protein_N_acetylglucosaminyltransferase_complex	ubiquitin_conjugating_enzyme_complex	mannosyltransferase_complex	decaprenyl_diphosphate_synthase_complex	Atg12_Atg5_Atg16_complex	methyltransferase_complex	oxoglutarate_dehydrogenase_complex	methionine_adenosyltransferase_complex	transferase_complex__transferring_phosphorus_containing_groups	inositol_phosphoceramide_synthase_complex	SUMO_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_II_complex	acetyltransferase_complex	dehydrodolichyl_diphosphate_synthase_complex	Bre1_Rad6_ubiquitin_ligase_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_I_complex	Remaining
0159_AP39_21131_20180213_ST	1452528	0	0	1	0	0	0	0	0	0	0	0	0	334	260.5	0	15.6666666666667	0	0	0	0	11	2	0	10100.6666666667	0	334	0	0	0	0	0	0	0	0	0	1441469.16666667
0159_AB10_26420_20190311_ST	1448023	0	0	0.666666666666665	0	0	3	32	0	0	0	0	0.0833333333333333	284	277	0	0.833333333333335	0	0	0	0	21	13.75	0.25	10187.25	0	1	0	0	0	0	0	0	0	0	0	1437202.16666667
0159_AP39_21027_20171120_ST	1445714	0	0	0	0	0	1	4	0	0	0	0	0	280	336	0	1.91666666666666	0	0	0	0	15	4.5	0	8905.58333333335	0	62	0	0	0	0.25	0	0	0	0	0	1436103.75
0159_AP39_21403_20180907_ST_E21	1434601	1	0	2.16666666666667	0	0.333333333333333	0	56	0	0	0	0	0	309.2	372	0	5	0	0	0	0	23	39.5416666666667	0	10436.5	0	7	0	0.75	0	0	0	0	0	0	0	1423348.50833333
0159_AB10_26298_20181218_ST	1432885	0	0	0	0	0	0	57	0	0	0	0	0	295.4	306.5	0	21.8333333333333	0	0	0	0	2	24.5	0	8876.83333333334	0	49	0	0.25	0	0	0	0	0	0	0	1423251.68333333
0159_AQ29_10104_20180715_ST	1422306	0	0.25	0	0	1	0	21	0	0	0	0	0	279	328	0	10.5	0	0	0	0	20.5	18.625	0	9697.14166666665	0	5	0	0	0	0	0	0	0	0	0	1411924.98333333
0159_AZ03_32051_20190819_STHS	1419821	0	0	0.5	0	0	0	53.5	0	0	0	0	0	274.8	300	0	7.83333333333335	0	0	0	0	30	15.0416666666667	0	9167.58333333335	0	4	0	1	0	0	0	0	0	0	0	1409966.74166667
0159_AP39_21210_20180228_ST	1407694	0	0	0.3375	0	0	0	15	0	0	0	0	0	348	354	0	3.08333333333333	0	0	0	0	33	2.75	0	8681.08333333335	0	0	0	0	0	0	0	0	0	0	0	1398256.74583333
0159_AK37_71037_20181003_ST	1406536	0	0	0	0	0	0	21	0	0	0	0	0	237.2	314	0	20.75	0	0	0	0	47	26.875	0	9928.49999999999	0	4	0	1.75	0	0	0	0	0	0	0	1395934.925
0159_AP39_21356_20180515_ST_E21	1403239	0	0	0	0	0	0	6	0	0	0	0	0	348.6	294	0	15.3333333333333	0	0	0	0	88	8.75	0	10249	0	1	0	0	0	0	0	0	0	0	0	1392228.31666667
