Target	CorrelatedName	Correlation
	nmndf_sqrt_NEG_00280.0474540	-0.83029
	nmndf_orig_NEG_00200.8899340	-0.83152
	nmndf_orig_NEG_00309.8796040	-0.83338
	nmndf_sqrt_NEG_00282.0428440	-0.83361
	nmndf_sqrt_NEG_00387.8749840	-0.83474
	nmndf_log_NEG_00261.8158740	-0.83592
	nmndf_sqrt_NEG_00191.9918640	-0.83748
	nmndf_orig_NEG_00226.9276240	-0.83975
	nmndf_sqrt_NEG_00487.8103240	-0.85329
	nmndf_sqrt_NEG_00145.9308040	-0.85495
	nmndf_sqrt_NEG_00104.9280440	-0.85586
	nmndf_log_NEG_00189.9948840	-0.85987
	nmndf_sqrt_NEG_00236.9895240	-0.86394
	nmndf_sqrt_NEG_00303.9691740	-0.86478
	nmndf_sqrt_NEG_00235.9817640	-0.87546
	nmndf_sqrt_NEG_00123.9464340	-0.8756
	nmndf_sqrt_NEG_00238.9899340	-0.87991
	nmndf_sqrt_NEG_00146.9232740	-0.88604
	nmndf_sqrt_NEG_00112.9856440	-0.88874
	nmndf_sqrt_NEG_00163.9413640	-0.89031
	nmndf_sqrt_NEG_00235.9624240	-0.90467
	nmndf_sqrt_NEG_00403.8489140	-0.90796
	nmndf_sqrt_NEG_00192.9288640	-0.9232
nmndf_nrcp_POS_00107.0007060:
	nmndf_nrcp_POS_00107.0007060	1
nmndf_nrcp_NEG_00180.9310040:
	nmndf_nrcp_NEG_00180.9310040	1
nmndf_nrcp_NEG_00231.9678440:
	nmndf_nrcp_NEG_00231.9678440	1
	nmndf_nrcp_NEG_00146.9830040	0.86474
	nmndf_nrcp_NEG_00171.9467140	0.85803
	nmndf_nrcp_NEG_00218.9824140	0.85048
	nmndf_nrcp_NEG_00188.9494940	0.84809
	nmndf_nrcp_NEG_00201.0382540	0.83436
	nmndf_nrcp_NEG_00229.9724940	0.82666
nmndf_log_POS_00213.0617260:
	nmndf_log_POS_00213.0617260	1
	nmndf_log_POS_00245.0878760	0.98648
	nmndf_log_POS_00196.0351360	0.98084
	nmndf_sqrt_POS_00217.0567360	0.82151
	nmndf_log_POS_00174.0509060	0.81841
nmndf_nrcp_NEG_00459.2169540:
	nmndf_nrcp_NEG_00459.2169540	1
	nmndf_nrcp_NEG_00377.2577640	0.91541
	nmndf_nrcp_NEG_00343.2966340	0.87131
	nmndf_log_NEG_00387.2865640	0.84775
	nmndf_log_POS_00343.2955660	0.80794
nmndf_nrcp_POS_00516.3013860:
	nmndf_nrcp_POS_00516.3013860	1
	nmndf_nrcp_POS_00499.2750460	0.9395
nmndf_nrcp_NEG_00161.9135640:
	nmndf_nrcp_NEG_00161.9135640	1
	nmndf_nrcp_NEG_00214.8800040	0.94565
	nmndf_nrcp_NEG_00243.8994740	0.91261
	nmndf_nrcp_NEG_00241.8991240	0.9092
	nmndf_nrcp_NEG_00245.8949440	0.90228
	nmndf_nrcp_NEG_00249.8490240	0.85007
	nmndf_nrcp_NEG_00269.9066940	0.84271
	nmndf_log_NEG_00191.9462840	0.82002
	nmndf_nrcp_NEG_00259.8777640	0.8189
	nmndf_log_NEG_00224.9213740	0.80494
nmndf_nrcp_POS_00446.2959160:
	nmndf_nrcp_POS_00446.2959160	1
