SampleID	ProportionKept
0262.HCP005.20240911.DOD.CS	0.5
0262.HCP005.20240918.DOD.CS	0.906051964512041
0262.HCP006.20240911.DOD.CS	0.240569521917424
0262.HCP006.20240920.DOD.CS	0.5
0262.HCP007.20241002.DOD.CS	0.465879938429964
0262.HCP007.20241009.DOD.CS	1
0262.HCP008.20241002.DOD.CS	0.231033550828153
0262.HCP008.20241009.DOD.CS	0.714560721619243
0262.HCP009.20241002.DOD.CS	0.249533913085315
0262.HCP010.20241002.DOD.CS	0.636584772561421
0262.HCP010.20241009.DOD.CS	0.748295658414065
0262.HCP011.20241002.DOD.CS	1
0262.HCP012.20241002.DOD.CS	0.989821882951654
0262.HCP013.20241009.DOD.CS	0.680992257860641
0262.HCP014.20241009.DOD.CS	0.995294652696391
0262.HCP015.20241009.DOD.CS	0.632008423269281
